Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,38.2010000000,µg/m3,2021-01-01 00:00:00 +01:00,2021-01-01 01:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,30.5840000000,µg/m3,2021-01-01 07:00:00 +01:00,2021-01-01 08:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,27.3960000000,µg/m3,2021-01-01 08:00:00 +01:00,2021-01-01 09:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,24.4920000000,µg/m3,2021-01-01 09:00:00 +01:00,2021-01-01 10:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,21.6450000000,µg/m3,2021-01-01 10:00:00 +01:00,2021-01-01 11:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,17.4720000000,µg/m3,2021-01-01 13:00:00 +01:00,2021-01-01 14:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,18.4050000000,µg/m3,2021-01-01 14:00:00 +01:00,2021-01-01 15:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.9570000000,µg/m3,2021-01-01 16:00:00 +01:00,2021-01-01 17:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,21.5440000000,µg/m3,2021-01-01 17:00:00 +01:00,2021-01-01 18:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,16.1230000000,µg/m3,2021-01-01 19:00:00 +01:00,2021-01-01 20:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,17.9660000000,µg/m3,2021-01-01 20:00:00 +01:00,2021-01-01 21:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_06001_100,SPP-SK_A_TEOM_93102_SK0002A_06001_100_101,SPO_F-SK0002A_06001_100_101,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,17.3180000000,µg/m3,2021-01-01 21:00:00 +01:00,2021-01-01 22:00:00 +01:00,1,1
