Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2389600000,mg/m3,2020-01-01 00:00:00 +01:00,2020-01-01 01:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2313040000,mg/m3,2020-01-01 01:00:00 +01:00,2020-01-01 02:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2503280000,mg/m3,2020-01-01 02:00:00 +01:00,2020-01-01 03:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2597240000,mg/m3,2020-01-01 03:00:00 +01:00,2020-01-01 04:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2567080000,mg/m3,2020-01-01 04:00:00 +01:00,2020-01-01 05:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2442960000,mg/m3,2020-01-01 05:00:00 +01:00,2020-01-01 06:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2436000000,mg/m3,2020-01-01 06:00:00 +01:00,2020-01-01 07:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2339720000,mg/m3,2020-01-01 07:00:00 +01:00,2020-01-01 08:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2238800000,mg/m3,2020-01-01 08:00:00 +01:00,2020-01-01 09:00:00 +01:00,1,1
SK,SK.SHMU.AQ,NET-SK001A,STA-SK0002A,SK0002A,SPO-SK0002A_00010_500,SPP-SK_A_NDIR_thermo48_SK0002A_00010_500_501,SPO_F-SK0002A_00010_500_501,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2154120000,mg/m3,2020-01-01 09:00:00 +01:00,2020-01-01 10:00:00 +01:00,1,1
