PM10 Concentration,PM2.5 Concentration,CO Concentration,NO2 Concentration,SO2 Concentration,C6H6 Concentration
25.442003452410766,25.58516219607916,0.3781918063937003,21.158806590390355,5.365330891878535,0.5509183250508615
24.469240807253637,24.422117440820085,0.3934675327617912,20.240164942601105,5.338798308057438,0.5730490247078991
23.06732827398565,25.095776340863424,0.34815681742057736,17.91781687186934,5.216048138100208,0.4943746458680209
23.915446522074998,25.57243057934964,0.3539431295986071,15.821236280503065,5.137188674631903,0.5081354681682624
26.86729645660956,27.977684847177038,0.37192095418769255,14.25129838555532,4.989048972528831,0.5488088615426028
25.41943673011439,26.813883297323127,0.3473412255384246,15.55329559130169,5.200900374995343,0.5181086032946194
25.42629154595939,25.527440587954878,0.36784340006170607,20.86417901938194,5.363524097455401,0.541311387151104
24.665538574604607,24.145570526361237,0.3793983069071108,19.472169432456447,5.329074326996553,0.5520460442723678
23.370842269279755,24.539028723467485,0.33455775420851674,17.477162303847923,5.228036839959202,0.4627421164514113
24.469593668386988,24.986649435563596,0.3427639068635057,15.537647587000254,5.199030627915612,0.46763844621468625
27.60322728428143,27.467270383852675,0.3703583077041958,14.435961824095891,5.1229082789854266,0.5033172052960039
26.48098016207629,26.73002774667625,0.3476941996956358,16.100518324894434,5.415218797803161,0.46666462959846877
26.47703429093089,25.817770973270562,0.37923355860256813,22.12485376996649,5.655750280275943,0.49089856138721416
25.880959041490495,24.553132332281088,0.3938889285016092,21.201197573568017,5.68596617991753,0.4989534728221484
24.57023900820657,25.117926623075533,0.35619456658842996,22.733980218398063,5.628695643692076,0.41252278076950866
25.60155253571574,25.800115220151746,0.3725879130727749,25.467475127327386,5.574662266670029,0.4150184800304992
28.31881358646416,28.225925168000522,0.42510398999804977,28.9614094466172,5.395938883467324,0.4571820142092798
27.02356205354345,27.91650592439477,0.4127241951317214,32.383752765982514,5.574427032895886,0.4288588221242464
26.92746538828442,27.159476642131356,0.47508060347342157,38.80658583297608,5.690775046578363,0.48232513308371955
27.526309383139036,25.306260484060534,0.5008947634807805,33.601778736311886,5.594412956781637,0.5131515527814546
27.078111260665196,23.310265859365586,0.4499616837523931,33.031592773468425,5.482540688980231,0.5442810928925274
28.580855558198465,21.744820901390458,0.4354175044053441,28.74701704412095,5.420343789158953,0.6402528821862128
30.75170726392712,22.584977235198885,0.5082169401366711,25.86028378618985,5.210074446476682,0.7057260854411328
29.743258294138258,22.715193065818525,0.4101908221330601,23.732260933819802,5.401118407692281,0.6786598423442072
28.346223831798714,21.486715441285565,0.4521878312474964,29.011731589547786,5.487298612541439,0.7412451330769624
28.14644657410649,19.626045189006426,0.4365938442794706,18.847606660882743,5.439963896793237,0.7415835424811786
26.464004299827117,19.377132412927846,0.38826937841319614,17.742775280155005,5.337999566727152,0.6413828687512185
26.89937831265129,18.77019097074998,0.38452744404836514,15.483063662986183,5.373824179628282,0.6324640145370767
27.69503666343309,19.164340519890903,0.4597068796545241,14.283739943459985,5.221792088547524,0.6582058116882413
27.34125511449656,20.77182604213764,0.3882572446830177,15.396491391479085,5.328045355252378,0.6562795396557773
25.730491592229026,19.546000230010385,0.4416625214542688,24.490275222991116,5.365658307820514,0.7202982938250273
25.747390056944546,17.68118591809456,0.413320089406651,15.30782628415094,5.453798488880251,0.7230701181021937
23.079430295842155,16.71860321888772,0.34117602140131204,16.568904943101703,5.352927521141265,0.6361327301328537
20.815314025279907,13.790394462212939,0.28987041630994637,17.814637458523357,5.4413986821982006,0.5499329418613463
16.77896806869236,10.272076326619802,0.24850531480852922,16.674234955644053,5.417590579994533,0.340198873422439
12.816219857488655,8.651465064919822,0.20645111894038276,18.554623755420156,5.402745042046773,0.16903470040524446
8.583706066513372,5.863177796054901,0.2481675987366953,25.4040872928066,5.2981833674698935,0.12615864843817934
7.039545871954922,4.259465233620097,0.22971656185537026,16.63950466238528,5.457052012038597,0.13701574506556563
5.6701676791855675,4.604905149784562,0.19658874416337396,17.07546273132662,5.351765110019786,0.08840974820951622
5.764753569281072,4.049587628905298,0.22979973513543375,19.773845802409767,5.332375970905046,0.11419940529601942
5.365287861497363,3.3482243476033697,0.22928073428979184,16.66475313998934,5.335605354981413,0.09748390725136295
5.179614151887865,3.7407133444755627,0.23851874137677448,18.146704313359393,5.236237817747274,0.11233603747561274
5.010463460203591,3.5298048782752947,0.28086860033723543,22.195794726570366,5.127360783233804,0.14457854271970474
4.9429857708304725,3.5839306812548255,0.2672363642093132,16.627861711535967,5.2370565410727545,0.17326765070466382
5.043575086985123,4.381004889265879,0.23624799511476713,15.868519232475856,5.1883968006833285,0.14272120276568617
5.807418189366706,4.883742389742768,0.26591723408327106,20.24266037771909,5.09306249717279,0.1678801558748106
6.098223624076098,4.8630195407995265,0.24378816048434304,15.009538071622904,5.183984893932176,0.13520426245990594
6.499181032469171,4.8584044084490605,0.23853704021022504,15.638912780546688,5.099085001508858,0.11476759942030042
7.203421721914697,5.1394501545696745,0.2516233658647783,16.949175762936907,4.98552485149724,0.12903467020409273
6.616768811414798,5.466885122823864,0.23502199693050232,16.192358204214912,4.9338811221368175,0.13126341984054912
7.626410250582896,5.987017450448491,0.21196200957088385,16.091292477894388,4.94002663912137,0.10850711053879014
9.055904651879661,6.913367210816827,0.2472788179693413,23.784566046391106,4.815178014295335,0.1474322228206807
9.497855397530332,6.9076063890474435,0.22789862972089522,16.60532076927977,4.996639255132512,0.1301788910672254
9.98486208803835,6.777962178458198,0.2374923372914527,16.34481652895756,5.0062694830802394,0.1283657926801047
